date,category,amount,memo
2022/08/20,自己投資,"¥1,133",jetbrains
2022/08/21,飲食費,¥240,水
2022/08/21,自己投資,¥693,ノート
2022/08/21,自己投資,"¥6,990",udemyかめさん機械学習
2022/08/21,飲食費,¥555,スタバ
2022/08/21,飲食費,¥780,すき家
2022/08/22,その他,"¥2,546",弁当箱
2022/08/22,飲食費,"¥1,244",スタバ
2022/08/22,飲食費,¥350,すき家
2022/08/23,住宅,"¥227,479",アルヒ住宅ローン
2022/08/23,飲食費,"¥1,807",エクセシオール よし、たつき
2022/08/23,飲食費,¥348,コンビニ飯
2022/08/23,飲食費,¥781,スタバ
2022/08/24,飲食費,¥240,水
2022/08/24,飲食費,¥390,スタバ
2022/08/25,借金,"¥90,000",アコム返済
2022/08/25,飲食費,¥240,水
2022/08/25,飲食費,"¥2,490",大戸屋
2022/08/26,飲食費,¥501,スタバ
2022/08/26,飲食費,¥120,水
2022/08/26,飲食費,¥390,スタバ
2022/08/27,その他,"¥2,800",ワンピース映画
2022/08/27,飲食費,¥120,水
2022/08/27,自己投資,"¥4,040",Udemy
2022/08/27,自己投資,"¥16,127",書籍
2022/08/27,その他,¥980,LINE漫画
2022/08/27,飲食費,¥390,スタバ
2022/08/28,飲食費,¥760,映画ドリンク
2022/08/28,飲食費,¥360,水
2022/08/29,飲食費,"¥1,869",スタバ
2022/08/29,水道光熱費,"¥13,402",電気代
2022/08/29,借金,"¥8,100",奨学金
2022/08/30,飲食費,¥743,スタバ
2022/08/30,自己投資,"¥1,990",IQテスト
2022/08/30,飲食費,¥874,スタバ
2022/08/31,その他,¥440,loop
2022/08/31,飲食費,"¥3,460",バーガーべいくうぉーたー
2022/08/31,飲食費,¥140,スタバ
2022/08/31,その他,"¥13,380",眉毛サロン
2022/08/31,飲食費,"¥1,450",ゴンチャ
2022/08/31,飲食費,¥125,コンビニ飯
2022/08/31,飲食費,¥115,水
2022/08/31,飲食費,¥450,すき家
2022/09/01,飲食費,"¥1,056",ラテグラ
2022/09/01,その他,"¥1,512",傘
2022/09/01,旅費交通費,¥440,小田急ゴリラクリニック町田
2022/09/01,飲食費,¥140,水
2022/09/01,飲食費,¥390,スタバ
2022/09/02,飲食費,¥227,水
2022/09/02,飲食費,"¥1,156",スタバ
2022/09/03,その他,¥400,少林サッカー
2022/09/03,飲食費,"¥10,731",スーパー
2022/09/03,飲食費,¥138,スタバ
2022/09/03,水道光熱費,"¥3,358",ガス料金8月分
2022/09/03,飲食費,"¥5,500",ピザーラ
2022/09/03,飲食費,¥741,スタバ
2022/09/04,飲食費,¥120,水
2022/09/04,飲食費,¥874,スタバ
2022/09/05,飲食費,¥431,スタバ
2022/09/05,飲食費,¥390,スタバ
2022/09/05,飲食費,¥245,コンビニ飯
2022/09/05,自己投資,"¥8,130",PYQ
2022/09/07,自己投資,¥985,スタバ
2022/09/07,飲食費,¥112,水
2022/09/08,自己投資,"¥2,455",線形代数&微分積分書籍
2022/09/08,飲食費,¥313,水
2022/09/08,飲食費,"¥1,017",スタバ
2022/09/08,飲食費,"¥1,138",水2lアマゾン
2022/09/09,飲食費,¥390,スタバ
2022/09/10,飲食費,¥390,スタバ
2022/09/10,飲食費,¥347,水
2022/09/10,住宅,"¥53,000",固定資産税
2022/09/10,その他,¥880,ウォーターサーバー
2022/09/11,飲食費,"¥1,041",スタバ
2022/09/11,飲食費,"¥1,138",水2l Amazon
2022/09/12,飲食費,¥484,スタバ
2022/09/12,借金,"¥7,095",ペイディー
2022/09/13,自己投資,"¥8,000",機械学習講座
2022/09/13,飲食費,"¥4,466",しんぱち食堂
2022/09/13,飲食費,¥562,エクセシオール
2022/09/13,飲食費,¥272,水とクリーム玄米ブラン
2022/09/14,その他,"¥5,313",菜々子6ヶ月記念日
2022/09/14,飲食費,¥770,エプロント
2022/09/14,飲食費,"¥3,223",こめらくチャイ
2022/09/14,飲食費,¥120,水
2022/09/14,飲食費,"¥3,229",スーパー6ヶ月記念日料理
2022/09/15,その他,¥473,6ヶ月記念日手紙
2022/09/15,その他,"¥3,270",生活の木 キンモクセイ匂い
2022/09/15,その他,¥250,LINE漫画
2022/09/16,住宅,"¥227,044",住宅ローン
2022/09/16,飲食費,"¥1,800",コンビニ飯
2022/09/16,その他,¥300,印鑑証明書
2022/09/16,その他,"¥70,504",au未納料金
2022/09/16,飲食費,¥852,スタバ
2022/09/17,飲食費,"¥3,490",大戸屋
2022/09/17,飲食費,¥500,スタバ
2022/09/18,飲食費,"¥1,738",こめらく
2022/09/18,飲食費,¥956,スタバ
2022/09/18,飲食費,"¥1,386",ラテグラフィック
2022/09/19,飲食費,"¥7,096",しゃぶ葉
2022/09/19,飲食費,"¥1,717",スタバ
2022/09/19,自己投資,"¥1,952",書籍 独学大全
2022/09/19,飲食費,"¥1,307",スタバ
2022/09/20,その他,¥980,漫画
2022/09/20,飲食費,"¥1,280",スタバ
2022/09/20,自己投資,"¥1,133",pycharm
2022/09/20,自己投資,"¥3,278",スタサプ
2022/09/21,飲食費,¥330,コンビニ飯
2022/09/22,その他,¥836,傷パワーパッド
2022/09/22,飲食費,¥120,水
2022/09/22,飲食費,"¥1,306",スタバ
2022/09/23,飲食費,"¥1,010",スタバ
2022/09/24,自己投資,"¥6,600",書籍
2022/09/24,その他,"¥10,000",LINE漫画
2022/09/24,その他,"¥9,504",Y-3Tシャツ
2022/09/24,飲食費,"¥1,065",スタバ
2022/09/24,飲食費,"¥1,078",ラテグラ
2022/09/24,飲食費,¥112,水
2022/09/25,その他,"¥6,600",RIZINペーパービュー
2022/09/25,飲食費,"¥12,386",すき焼きパーティ
2022/09/25,飲食費,"¥1,121",水2l Amazon
2022/09/26,飲食費,¥555,スタバ
2022/09/26,飲食費,¥210,水
2022/09/26,水道光熱費,"¥3,371",水道料金
2022/09/26,通信費,"¥15,242",スマホ代8月分
2022/09/27,自己投資,"¥4,400",ルネサンス会費菜々子と自分の分
2022/09/27,飲食費,¥219,水
2022/09/27,その他,"¥1,000",チャイトイック合格
2022/09/27,その他,"¥100,982",リアンリッチ会社にマイナス分
2022/09/27,飲食費,¥555,スタバ
2022/09/27,飲食費,¥115,水
2022/09/27,水道光熱費,"¥14,834",au電気
2022/09/27,その他,"¥7,780",モモ アイペット保険
2022/09/27,借金,"¥8,100",奨学金
2022/09/28,その他,"¥2,980",銭湯たつき
2022/09/28,飲食費,"¥1,771",スタバ
2022/09/28,飲食費,¥390,スタバ
2022/09/28,飲食費,"¥1,692",焼き鳥鳥さんわ
2022/09/28,住宅,"¥59,070",管理費
2022/09/29,飲食費,¥240,水
2022/09/29,飲食費,¥555,
2022/09/30,飲食費,¥112,水
2022/09/30,飲食費,"¥4,180",しんぱち食堂
2022/09/30,水道光熱費,"¥4,020",9月ガス料金
2022/09/30,飲食費,¥500,スタバ
2022/09/30,飲食費,¥127,ヨーグレット
2022/09/30,飲食費,¥228,水
2022/10/01,自己投資,¥440,ボールペン
2022/10/01,飲食費,"¥1,563",スタバ
2022/10/02,飲食費,¥491,コンビニ飯
2022/10/03,飲食費,¥500,スタバ
2022/10/03,飲食費,"¥4,138",中華
2022/10/04,飲食費,¥500,スタバ
2022/10/05,飲食費,"¥1,678",スタバ
2022/10/06,飲食費,"¥1,650",マナズグリーンティー
2022/10/06,飲食費,"¥3,146",バンビジェ
2022/10/06,飲食費,"¥1,425",スタバ
2022/10/07,飲食費,"¥1,340",スタバ
2022/10/08,飲食費,¥390,スタバ
2022/10/09,飲食費,¥110,水
2022/10/09,飲食費,¥965,スタバ
2022/10/09,その他,"¥5,480",漫画LINE
2022/10/09,その他,"¥67,556",スーツ
2022/10/10,飲食費,¥240,水
2022/10/10,飲食費,¥640,スタバ
2022/10/11,自己投資,"¥134,800",菜々子MacBookair
2022/10/11,自己投資,¥693,ノート
2022/10/11,飲食費,¥640,スタバ
2022/10/12,自己投資,"¥1,738",書籍 スティーブ・ジョブズ
2022/10/12,飲食費,¥640,スタバ
2022/10/12,借金,"¥7,095",ペイディー
2022/10/13,その他,"¥1,424",定規、便箋、ご祝儀袋
2022/10/13,飲食費,¥390,スタバ
2022/10/13,その他,"¥7,055",鍋
2022/10/13,その他,"¥22,350",美容院
2022/10/13,その他,"¥2,200",ヘアワックス
2022/10/14,飲食費,¥390,スタバ
2022/10/14,その他,"¥100,000",ご祝儀袋よしの結婚式
2022/10/16,飲食費,"¥1,046",スタバ
2022/10/18,その他,"¥28,750",万葉の湯
2022/10/18,飲食費,"¥3,278",こめらく
2022/10/18,自己投資,"¥1,139",しょせき
2022/10/19,自己投資,"¥7,810",トイック12/18受験料
2022/10/19,飲食費,¥475,アイスココアスタバ
2022/10/19,飲食費,"¥1,017",スタバ
2022/10/20,住宅,"¥227,607",住宅ローン
2022/10/20,自己投資,"¥1,672",英文法書籍
2022/10/20,自己投資,"¥6,497",すたサプ教材
2022/10/20,自己投資,"¥1,306",書籍
2022/10/20,飲食費,¥530,スタバ
2022/10/20,飲食費,¥350,すき家
2022/10/21,その他,"¥100,000",菜々子
2022/10/21,飲食費,"¥1,127",スタバ
2022/10/22,飲食費,"¥1,235",スタバ
2022/10/22,飲食費,¥840,すき家
2022/10/23,自己投資,"¥1,151",スタバ
2022/10/23,飲食費,¥350,すき家
2022/10/24,飲食費,"¥1,106",スタバ
2022/10/25,飲食費,¥890,コンビニ飯
2022/10/25,飲食費,¥438,エクセシオール
2022/10/25,飲食費,"¥1,150",エクセシオール
2022/10/25,飲食費,"¥2,340",すき家
2022/10/26,その他,"¥400,000",AP
2022/10/26,その他,"¥1,064",コンドーム
2022/10/26,飲食費,"¥1,500",スタバ
2022/10/26,通信費,"¥29,087",スマホ
2022/10/27,その他,"¥3,890",モモアイペット損保
2022/10/28,飲食費,¥531,スタバ
2022/10/28,飲食費,"¥4,880",うまいもん寿司
2022/10/29,飲食費,"¥1,329",スタバ
2022/10/30,飲食費,"¥5,200",大山食事
2022/11/01,飲食費,"¥5,060",cafe 44
2022/11/02,飲食費,"¥1,345",スタバ
2022/11/03,飲食費,¥855,スタバ
2022/11/04,飲食費,"¥6,290",ラテグラ
2022/11/05,飲食費,"¥1,120",クレープ
2022/11/05,飲食費,¥800,スタバ
2022/11/06,旅費交通費,¥100,コメダ
2022/11/06,その他,"¥5,496",RIZINppuv
2022/11/07,飲食費,"¥1,617",しんぱち食堂
2022/11/07,飲食費,¥500,スタバ
2022/11/07,飲食費,"¥2,772",ラテグラ
2022/11/07,飲食費,¥917,エクセシオール
2022/11/08,自己投資,"¥3,278",インスタ研究室
2022/11/09,飲食費,¥270,コメダ
2022/11/09,飲食費,¥880,すき家
2022/11/10,飲食費,"¥1,212",スーパー
2022/11/10,飲食費,¥500,スタバ
2022/11/10,飲食費,¥270,コメダ
2022/11/11,飲食費,"¥4,070",大戸屋
2022/11/11,飲食費,¥270,コメダ
2022/11/11,飲食費,¥500,スタバ
2022/11/12,飲食費,¥233,水
2022/11/12,飲食費,"¥3,518",しゃぶ葉
2022/11/12,その他,"¥8,000",馬場さん大会
2022/11/13,飲食費,"¥1,166",ラテグラ
2022/11/13,飲食費,¥100,コメダ
2022/11/14,水道光熱費,"¥4,027",ガス代10月分
2022/11/14,飲食費,"¥8,590",パーティ
2022/11/14,飲食費,¥850,すき家
2022/11/14,飲食費,¥240,コメダ
2022/11/14,借金,"¥7,095",ペイディー
2022/11/15,飲食費,¥116,水
2022/11/15,その他,¥980,YouTubeミュージック
2022/11/15,飲食費,¥390,スタバ
2022/11/16,飲食費,"¥3,564",ラテグラ
2022/11/16,飲食費,"¥1,360",スタバ
2022/11/16,住宅,"¥227,108",住宅ローン
2022/11/16,借金,"¥13,065",会社借金
2022/11/17,飲食費,¥770,松屋
2022/11/17,飲食費,"¥1,014",スタバ
2022/11/18,飲食費,¥350,マック
2022/11/19,飲食費,¥305,スタバ
2022/11/19,飲食費,¥100,コメダ
2022/11/19,飲食費,"¥2,800",コメダチケット
2022/11/19,自己投資,"¥2,195",DSスクール
2022/11/19,飲食費,¥390,スタバ
2022/11/20,飲食費,¥450,コンビニ
2022/11/20,その他,"¥1,500",LINE漫画
2022/11/20,自己投資,"¥1,307",ジェットブレイン
2022/11/20,飲食費,"¥4,345",ラテグラ
2022/11/21,飲食費,¥850,すき家
2022/11/21,飲食費,¥390,スタバ
2022/11/22,飲食費,¥438,エクセシオールカフェ
2022/11/22,飲食費,¥572,コンビニ飯
2022/11/22,飲食費,¥709,スタバ
2022/11/24,飲食費,¥825,ドトール
2022/11/24,飲食費,¥700,スタバ
2022/11/25,飲食費,¥438,エクセシオール
2022/11/25,飲食費,"¥2,190",すき家
2022/11/25,飲食費,¥709,スタバ
2022/11/26,その他,"¥1,300",LINE漫画
2022/11/26,飲食費,¥390,スタバ
2022/11/26,飲食費,¥825,ドトール
2022/11/26,その他,¥528,漫画
2022/11/26,旅費交通費,¥270,コメダ
2022/11/27,飲食費,¥100,コメダ
2022/11/27,飲食費,"¥3,465",ラテグラ
2022/11/28,飲食費,¥438,エクセシオールカフェ
2022/11/28,飲食費,¥522,コンビニ飯
2022/11/28,通信費,"¥23,394",スマホ
2022/11/28,その他,"¥3,890",モモ保険
2022/11/28,住宅,"¥118,140",管理費10月11月分
2022/11/28,水道光熱費,"¥6,310",電気代
2022/11/28,水道光熱費,"¥3,611",水道代
2022/11/28,借金,"¥16,200",奨学金
2022/11/28,飲食費,¥709,スタバ
2022/11/29,その他,¥84,切手
2022/11/29,飲食費,¥270,コメダ
2022/11/30,飲食費,"¥1,600",44アパートメント
2022/11/30,飲食費,"¥3,410",大戸屋
2022/11/30,飲食費,¥620,コメダ
2022/12/01,自己投資,¥367,イーロンマスク書籍
2022/12/01,飲食費,¥781,コンビニ飯
2022/12/01,水道光熱費,"¥7,936",ガス料金11月
2022/12/01,飲食費,¥390,スタバ
2022/12/02,飲食費,¥438,アイスカフェラテ
2022/12/02,飲食費,"¥1,551",しんぱち食堂
2022/12/02,その他,"¥1,000",LINE漫画
2022/12/02,飲食費,¥390,スタバ
2022/12/02,飲食費,¥900,しゅうまい弁当
2022/12/02,飲食費,¥130,水
2022/12/02,その他,"¥11,800",ユニバ菜々子誕生日
2022/12/02,その他,"¥45,003",ホテル
2022/12/03,旅費交通費,"¥1,000",センター南駐車場
2022/12/03,飲食費,"¥1,979",吉野家
2022/12/04,飲食費,"¥1,240",コメダ
2022/12/04,飲食費,¥120,水
2022/12/05,飲食費,"¥1,430",大戸屋
2022/12/05,飲食費,¥620,コメダ
2022/12/06,飲食費,"¥1,355",DOUTOR
2022/12/06,飲食費,¥641,スタバ
2022/12/06,飲食費,¥120,水
2022/12/07,飲食費,"¥3,000",キープウィルcafe
2022/12/08,飲食費,¥531,スタバ
2022/12/08,飲食費,"¥1,520",大戸屋
2022/12/08,飲食費,¥520,コメダ
2022/12/08,飲食費,¥330,飯
2022/12/08,自己投資,"¥3,278",インスタ研究室
2022/12/09,飲食費,"¥6,490",ざんまい
2022/12/09,飲食費,¥900,タピオカ
2022/12/09,飲食費,"¥1,103",ばーがーきんぐ
2022/12/09,飲食費,¥520,キーズカフェ
2022/12/10,飲食費,¥693,エクセシオールcafe
2022/12/10,飲食費,¥479,コンビニ飯
2022/12/10,飲食費,¥709,スタバ
2022/12/11,飲食費,¥509,コンビニ飯
2022/12/12,飲食費,¥520,コメダ
2022/12/13,飲食費,¥550,フレンチトースト
2022/12/13,飲食費,"¥2,772",ラテグラ
2022/12/14,飲食費,¥110,水
2022/12/14,自己投資,"¥1,155",ノート
2022/12/14,飲食費,¥390,スタバ
2022/12/15,その他,"¥5,400",ユニバ
2022/12/15,飲食費,"¥1,440",京樽
2022/12/15,その他,"¥28,380",新幹線
2022/12/15,その他,¥495,手紙
2022/12/15,飲食費,¥781,スタバ
2022/12/15,飲食費,"¥13,728",しゃぶしゃぶ
2022/12/16,飲食費,¥85,スタバ
2022/12/16,その他,¥600,あげもた
2022/12/16,飲食費,¥250,ニッキ
2022/12/16,その他,"¥1,000",taxi
2022/12/16,飲食費,"¥16,900",焼肉矢澤
2022/12/17,飲食費,"¥1,336",タルト
2022/12/17,その他,¥985,ケーキ
2022/12/17,飲食費,¥616,八つ橋
2022/12/17,その他,"¥7,251",京都お土産
2022/12/17,その他,"¥5,100",宝くじ17枚年末ジャンボ
2022/12/17,飲食費,"¥4,600",寿司
2022/12/18,飲食費,¥587,コンビニ
2022/12/18,飲食費,"¥3,100",カツオcafe
2022/12/18,飲食費,¥116,水
2022/12/19,自己投資,"¥2,155",DSスクール
2022/12/19,飲食費,¥850,すき家
2022/12/19,住宅,"¥227,170",住宅ローン
2022/12/20,その他,¥600,印鑑証明書&住民票
2022/12/20,旅費交通費,¥440,海老名→町田→海老名
2022/12/20,飲食費,"¥1,400",ケバブ
2022/12/20,その他,"¥60,000",収入印紙代
2022/12/20,その他,¥650,LINE漫画
2022/12/20,自己投資,"¥1,307",ジェットブレイン
2022/12/21,飲食費,"¥1,020",クレープ
2022/12/22,飲食費,¥390,駅の購買
2022/12/22,その他,"¥106,000",固定資産税
2022/12/23,飲食費,"¥2,156",スパけディ
2022/12/23,飲食費,"¥3,267",こめらく
2022/12/23,飲食費,"¥1,050",スタバ
2022/12/24,旅費交通費,¥640,高速道路
2022/12/24,飲食費,"¥1,160",エクセシオールカフェ
2022/12/24,その他,"¥66,945",万葉の湯
2022/12/24,旅費交通費,¥800,駐車場
2022/12/24,自己投資,"¥497,280",Apple商品
2022/12/25,その他,"¥7,950",ゴルフウェア
2022/12/26,その他,"¥1,000",LINE漫画
2022/12/26,飲食費,¥523,コンビニ飯
2022/12/26,その他,"¥10,515",三島カントリークラブ
2022/12/26,飲食費,¥788,コンビニ飯
2022/12/26,通信費,"¥11,970",ソフトバンク11月分
2022/12/27,その他,"¥60,000",ゴルフ諸々
2022/12/27,その他,"¥11,630",沼津国際カントリークラブ
2022/12/27,その他,"¥3,890",モモの保険
2022/12/27,借金,"¥8,100",奨学金
2022/12/27,住宅,"¥59,070",管理費
2022/12/27,水道光熱費,"¥6,393",電気代
2022/12/28,飲食費,"¥5,600",カラオケ
2022/12/28,飲食費,¥980,台湾牛肉
2022/12/28,飲食費,¥980,チキンカレー
2022/12/28,旅費交通費,¥440,海老名→町田→海老名
2022/12/29,水道光熱費,"¥16,891",ガス12月分
2022/12/29,借金,"¥56,760",ペイディー
2022/12/29,その他,"¥5,000",カラオケ
2022/12/29,その他,"¥10,000",LINE漫画
2022/12/29,飲食費,"¥1,400",コメダ
2022/12/29,自己投資,"¥25,600",MacBookアクセサリー
2022/12/29,自己投資,"¥586,600",MacBook Pro16インチ
2022/12/30,飲食費,¥450,エクセシオールカフェ
2022/12/30,飲食費,¥646,コンビニ飯
2022/12/30,旅費交通費,¥862,海老名→センター南→東山田
2022/12/30,旅費交通費,¥600,センター南→海老名
2022/12/31,その他,"¥9,090",ピザーラ
2023/01/02,娯楽,"¥113,000",ゴルフ用品
2023/01/02,自己投資,¥766,スタバ
2023/01/03,飲食費,¥707,コンビニ
2023/01/03,旅費交通費,¥220,伊勢原→海老名
2023/01/04,娯楽,"¥294,335",ゴルフ用品
2023/01/04,飲食費,"¥3,720",天ぷらたかお
2023/01/04,自己投資,¥520,コメダ珈琲
2023/01/04,娯楽,"¥4,500",ゴルフ打ちっぱなし
2023/01/05,飲食費,¥563,コンビニ
2023/01/05,飲食費,¥116,水
2023/01/05,自己投資,¥450,エクセシオールカフェ
2023/01/05,飲食費,¥135,男梅
2023/01/06,飲食費,"¥1,280",コンビニ飯
2023/01/06,飲食費,¥130,水
2023/01/06,自己投資,¥620,コメダ
2023/01/07,飲食費,¥130,水
2023/01/07,自己投資,"¥2,560",コメダ
2023/01/07,自己投資,"¥7,810",トイック試験
2023/01/08,飲食費,¥279,水
2023/01/08,娯楽,"¥5,000",ゴルフ打ちっぱなし
2023/01/08,飲食費,"¥3,738",しゃぶ葉
2023/01/09,娯楽,"¥6,900",手揉みマッサージ
2023/01/09,自己投資,¥620,コメダ珈琲
2023/01/09,娯楽,"¥12,241",ゴルフコース
2023/01/09,飲食費,"¥1,188",シュークリーム
2023/01/10,飲食費,"¥3,000",伊勢神宮 飯
2023/01/10,飲食費,"¥4,000",伊勢神宮 飯
2023/01/10,自己投資,"¥1,500",伊勢神宮 角祓
2023/01/10,自己投資,"¥2,000",御守り 伊勢神宮
2023/01/10,自己投資,"¥10,000",伊勢神宮ご祈祷
2023/01/11,娯楽,"¥5,000",ゴルフ
2023/01/11,飲食費,"¥3,800",ことしろ
2023/01/11,飲食費,¥237,水
2023/01/11,飲食費,¥140,水
2023/01/11,自己投資,¥620,コメダ
2023/01/12,自己投資,"¥1,240",コメダ珈琲
2023/01/12,自己投資,¥450,エクセシオール
2023/01/12,娯楽,¥320,LINE漫画
2023/01/12,飲食費,¥590,すき家
2023/01/13,娯楽,"¥1,650",LINE漫画
2023/01/13,自己投資,"¥2,350",親知らず赤田歯科
2023/01/13,飲食費,"¥3,586",cafe KATSUO
2023/01/13,自己投資,¥360,キーズカフェ
2023/01/13,生活,¥166,歯ブラシ
2023/01/13,旅費交通費,¥440,海老名→町田→海老名
2023/01/14,自己投資,"¥1,200",コメダ
2023/01/14,生活,"¥4,450",マスクピッタ
2023/01/14,飲食費,"¥11,495",銚子丸
2023/01/14,自己投資,"¥1,078",ラテグラ
2023/01/14,旅費交通費,¥440,海老名→町田→海老名
2023/01/14,自己投資,"¥3,690",歯医者赤田歯科
2023/01/15,飲食費,¥260,水
2023/01/16,住宅,"¥227,170",住宅ローン
2023/01/16,自己投資,"¥2,630",コメダ珈琲
2023/01/17,飲食費,¥130,水
2023/01/17,自己投資,¥390,スタバ
2023/01/17,飲食費,"¥3,430",大戸屋
2023/01/17,自己投資,¥620,コメダ珈琲
2023/01/18,自己投資,"¥1,340",コメダ珈琲
2023/01/18,飲食費,¥116,水
2023/01/19,飲食費,¥220,水
2023/01/19,生活,"¥13,200",眉毛プラスエイト
